v0	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.999771e-02	-4.864642e-09
2.000000000000000e-01	1.999956e-01	-9.321491e-09
3.000000000000000e-01	2.999931e-01	-1.476756e-08
4.000000000000000e-01	3.999898e-01	-2.173165e-08
5.000000000000000e-01	4.999856e-01	-3.069844e-08
6.000000000000000e-01	5.999801e-01	-4.226397e-08
7.000000000000000e-01	6.999731e-01	-5.719453e-08
7.999999999999999e-01	7.999641e-01	-7.648064e-08
8.999999999999999e-01	8.999524e-01	-1.014036e-07
9.999999999999999e-01	9.999372e-01	-1.336209e-07
1.100000000000000e+00	1.099918e+00	-1.752767e-07
1.200000000000000e+00	1.199892e+00	-2.291444e-07
1.300000000000000e+00	1.299860e+00	-2.988110e-07
1.400000000000000e+00	1.399817e+00	-3.889156e-07
1.500000000000000e+00	1.499762e+00	-5.054559e-07
1.600000000000000e+00	1.599692e+00	-6.561856e-07
1.700000000000000e+00	1.699600e+00	-8.511245e-07
1.800000000000000e+00	1.799482e+00	-1.103216e-06
1.900000000000001e+00	1.899328e+00	-1.429174e-06
2.000000000000000e+00	1.999130e+00	-1.850562e-06
2.100000000000001e+00	2.098874e+00	-2.395183e-06
2.200000000000001e+00	2.198544e+00	-3.098843e-06
2.300000000000001e+00	2.298116e+00	-4.007592e-06
2.400000000000001e+00	2.397565e+00	-5.180547e-06
2.500000000000001e+00	2.496854e+00	-6.693428e-06
2.600000000000001e+00	2.595938e+00	-8.642931e-06
2.700000000000001e+00	2.694758e+00	-1.115207e-05
2.800000000000001e+00	2.793243e+00	-1.437657e-05
2.900000000000001e+00	2.891299e+00	-1.851236e-05
3.000000000000001e+00	2.988812e+00	-2.380396e-05
3.100000000000001e+00	3.085640e+00	-3.055353e-05
3.200000000000002e+00	3.181609e+00	-3.912965e-05
3.300000000000002e+00	3.276512e+00	-4.997483e-05
3.400000000000002e+00	3.370104e+00	-6.360988e-05
3.500000000000002e+00	3.462103e+00	-8.063280e-05
3.600000000000002e+00	3.552197e+00	-1.017098e-04
3.700000000000002e+00	3.640049e+00	-1.275562e-04
3.800000000000002e+00	3.725315e+00	-1.589067e-04
3.900000000000002e+00	3.807659e+00	-1.964755e-04
4.000000000000002e+00	3.886774e+00	-2.409122e-04
4.100000000000001e+00	3.962408e+00	-2.927584e-04
4.200000000000001e+00	4.034371e+00	-3.524137e-04
4.300000000000001e+00	4.102550e+00	-4.201194e-04
4.400000000000000e+00	4.166902e+00	-4.959698e-04
4.500000000000000e+00	4.227422e+00	-5.799709e-04
4.600000000000000e+00	4.284080e+00	-6.721920e-04
4.699999999999999e+00	4.336663e+00	-7.730917e-04
4.799999999999999e+00	4.384532e+00	-8.840471e-04
4.899999999999999e+00	4.426507e+00	-1.007626e-03
4.999999999999998e+00	4.461408e+00	-1.146392e-03
5.099999999999998e+00	4.489034e+00	-1.300588e-03
5.199999999999998e+00	4.510404e+00	-1.467817e-03
5.299999999999997e+00	4.527097e+00	-1.644843e-03
5.399999999999997e+00	4.540496e+00	-1.828927e-03
5.499999999999996e+00	4.551543e+00	-2.018099e-03
5.599999999999996e+00	4.560852e+00	-2.211012e-03
5.699999999999996e+00	4.568848e+00	-2.406742e-03
5.799999999999995e+00	4.575825e+00	-2.604648e-03
5.899999999999995e+00	4.581998e+00	-2.804272e-03
5.999999999999995e+00	4.587523e+00	-3.005280e-03
6.099999999999994e+00	4.592514e+00	-3.207423e-03
6.199999999999994e+00	4.597063e+00	-3.410510e-03
6.299999999999994e+00	4.601237e+00	-3.614393e-03
6.399999999999993e+00	4.605092e+00	-3.818957e-03
6.499999999999993e+00	4.608671e+00	-4.024107e-03
6.599999999999993e+00	4.612010e+00	-4.229767e-03
6.699999999999992e+00	4.615139e+00	-4.435875e-03
6.799999999999992e+00	4.618082e+00	-4.642379e-03
6.899999999999991e+00	4.620859e+00	-4.849236e-03
6.999999999999991e+00	4.623488e+00	-5.056408e-03
7.099999999999991e+00	4.625984e+00	-5.263864e-03
7.199999999999990e+00	4.628359e+00	-5.471576e-03
7.299999999999990e+00	4.630625e+00	-5.679523e-03
7.399999999999990e+00	4.632790e+00	-5.887681e-03
7.499999999999989e+00	4.634864e+00	-6.096035e-03
7.599999999999989e+00	4.636854e+00	-6.304567e-03
7.699999999999989e+00	4.638766e+00	-6.513265e-03
7.799999999999988e+00	4.640606e+00	-6.722115e-03
7.899999999999988e+00	4.642380e+00	-6.931107e-03
8.000000000000000e+00	4.644092e+00	-7.140231e-03
